---,Entities
False,"(""right"",""rightmost"",""right-most"",""righthand"",""right-hand"")"
1,"(""down"",""bottom"",""lower"")"
2,"(""left"",""leftmost"",""left-most"",""lefthand"",""left-handed"")"
3,"(""middle"",""center"")"
4,"(""top"",""upper"")"
5,"(""first"",""1st"")"
6,"(""second"",""2nd"")"
7,"(""third"",""3rd"")"
8,"(""fourth"",""4th"")"
9,"(""fifth"",""5th"")"
10,"(""sixth"",""6th"")"
11,"(""seventh"",""7th"")"
12,"(""eighth"",""8th"")"
13,"(""ninth"",""9th"")"
14,"(""tenth"",""10th"")"
15,"(""last"")"
