,Stopwords
0,ourselves
1,hers
2,between
3,yourself
4,but
5,again
6,there
7,about
8,once
9,during
10,out
11,very
12,having
13,with
14,they
15,own
16,an
17,be
18,some
19,for
20,do
21,its
22,yours
23,such
24,into
25,of
26,most
27,itself
28,other
29,off
30,is
31,s
32,am
33,or
34,who
35,as
36,from
37,him
38,each
39,the
40,themselves
41,until
42,below
43,are
44,we
45,these
46,your
47,his
48,don
49,nor
50,me
51,were
52,her
53,more
54,himself
55,this
56,down
57,should
58,our
59,their
60,while
61,above
62,both
63,up
64,to
65,ours
66,had
67,she
68,all
69,no
70,when
71,at
72,any
73,before
74,them
75,same
76,and
77,been
78,have
79,in
80,will
81,on
82,does
83,yourselves
84,then
85,that
86,because
87,what
88,over
89,why
90,some
91,can
92,did
93,not
94,now
95,under
96,he
97,you
98,herself
99,has
100,just
101,where
102,too
103,only
104,myself
105,which
106,those
107,i
108,after
109,few
110,whom
111,t
112,being
113,if
114,theirs
115,myself
116,against
117,a
118,by
119,doing
120,it
121,how
122,further
123,was
124,here
125,than
